id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
804,Senegal,Senegal,SEN,https://crests.football-data.org/senegal.svg,"VDN-Ouest-Foire en face du CICES, Boite postale 13021 Dakar null",http://www.fsfoot.sn,1960.0,White / Green,,2022-04-02T10:41:30Z
805,Belgium,Belgium,BEL,https://crests.football-data.org/805.svg,"145, avenue Houba de Strooper Brussels 1020",https://www.rbfa.be,1895.0,Red / Black / Yellow,King Power at Den Dreef Stadion,2021-05-26T10:28:44Z
806,Ireland,Ireland,IRL,https://crests.football-data.org/806.svg,"National Sports Campus, Abbotstown Dublin 15",http://www.fai.ie,1921.0,Green / White / Orange,Aviva Stadium,2023-06-16T07:31:23Z
808,Russia,Russia,RUS,https://crests.football-data.org/808.svg,"Ulitsa Narodnaya, 7 Moskva 115172",http://www.rfs.ru,1912.0,Red / White / Blue,VTB Arena,2021-05-29T10:09:02Z
809,FC Penafiel,Penafiel,PEN,https://crests.football-data.org/809.png,"Rua de O Penafidelense, 49 Penafiel 4560-499",http://www.fcpenafiel.pt,1951.0,Red / Black,Estádio Municipal 25 de Abril,2023-09-02T13:15:13Z
810,Boavista FC,Boavista,BOA,https://crests.football-data.org/810.png,"Rua O Primeiro de Janeiro, Boavista Porto 4100-127",http://www.boavistafc.pt,1903.0,Black / White,Estádio do Bessa Século XXI,2022-07-26T17:39:01Z
811,Romania,Romania,ROU,https://crests.football-data.org/811.svg,"Strada Vasile Şerbănică, 12 Bucureşti 022186",http://www.frf.ro,1909.0,Yellow / Blue / Red,Stadionul Ilie Oană,2024-05-16T15:42:03Z
812,Yugoslavia,,,https://crests.football-data.org/812.svg,null null null,,,,,2024-06-14T10:56:16Z
813,Norway,Norway,NOR,https://crests.football-data.org/813.svg,"Serviceboks 1, Ullevaal stadion Oslo 0840",http://www.fotball.no,1902.0,Red / White / Navy Blue,Intility Arena,2023-04-05T11:10:07Z
814,Scotland,Scotland,SCO,https://crests.football-data.org/814.svg,Hampden Park Glasgow G42 9AY,http://www.scottishfa.co.uk,1873.0,Navy Blue / White,St. Mirren Park,2024-06-14T10:56:38Z
815,Morocco,Morocco,MAR,https://crests.football-data.org/morocco.svg,"51 bis, Avenue Ibn Sina Rabat 10000",http://www.frmf.ma,1955.0,Red / Green,,2022-04-02T10:40:28Z
816,Austria,Austria,AUT,https://crests.football-data.org/816.svg,"Ernst-Happel-Stadion, Sektor A/F, Meiereistraße 7 Wien 1020",http://www.oefb.at,1904.0,Red / White / Black,Ernst-Happel-Stadion,2021-05-28T19:09:15Z
817,Bulgaria,Bulgaria,BUL,https://crests.football-data.org/817.png,"ulitsa ""Tsar Ivan Asen II"", 26 Sofia 1124",http://www.bfunion.bg,1923.0,White / Red / Green,Stadion Vasil Levski,2023-06-16T08:18:09Z
818,Colombia,Colombia,COL,https://crests.football-data.org/818.svg,Avenida 32 no. 16-22 Bogotá null,http://www.fcf.com.co,1924.0,Yellow / Red / Blue,,2021-05-22T11:29:53Z
819,Jamaica,Jamaica,JAM,https://crests.football-data.org/jamaica.svg,20 St. Lucia Crescent Kingston null,http://www.jamaicafootballfederation.com,1910.0,Gold / Black / Green,,2024-06-06T15:48:57Z
820,Bolivia,Bolivia,BOL,https://crests.football-data.org/820.svg,Avenida Libertador Bolívar 1168 Cochabamba null,http://www.fbf.com.bo,1925.0,Green / White,,2021-05-22T11:29:26Z
821,West Germany,,,,null null null,,,,,2021-10-06T16:35:19Z
822,Czechoslovakia,,,https://crests.football-data.org/798.svg,null null null,,,,,2024-06-14T10:57:14Z
823,USSR,,,,null null null,,,,,2021-10-06T16:37:34Z
825,Egypt,Egypt,EGY,https://crests.football-data.org/825.svg,"5, Gabalaya Street, El Gezira Cairo null",http://www.efa.com.eg,1921.0,Red / White / Black,,2021-07-26T12:19:29Z
827,Hungary,Hungary,HUN,https://crests.football-data.org/827.svg,Kánai út 2/d Budapest 1112,http://www.mlsz.hu,1901.0,Red / White / Green,Puskás Aréna,2021-05-28T19:08:20Z
828,Canada,Canada,CAN,https://crests.football-data.org/canada.svg,null null null,,,,,2022-10-07T08:25:45Z
829,Northern Ireland,North. Ireland,NIR,https://crests.football-data.org/829.svg,20 Windsor Avenue Belfast BT9 6EG,http://www.irishfa.com,1880.0,Green / White,Windsor Park,2021-04-05T07:09:21Z
830,El Salvador,,,https://crests.football-data.org/el_salvador.svg,null null null,,,,,2021-11-19T09:06:20Z
832,Peru,Peru,PER,https://crests.football-data.org/832.svg,Avenida Aviación 2085 Lima null,http://www.fpf.org.pe,1922.0,White / Red,,2021-05-22T11:28:49Z
833,Wales,Wales,WAL,https://crests.football-data.org/833.svg,"11/12 Neptune Court, Vanguard Way Cardiff CF24 5PJ",http://www.faw.org.uk,1876.0,Red / White,Cardiff City Stadium,2021-05-28T19:08:03Z
834,DDR,,,,null null null,,,,,2021-10-13T11:59:52Z
835,Zaire,,,,null null null,,,,,2021-10-06T17:00:58Z
836,Haiti,Haiti,HAI,https://crests.football-data.org/haiti.svg,Stade Sylvio Cator Port-au-Prince null,http://fhfhaiti.com,1904.0,Blue / White / Red,Stade Sylvio Cator,2021-11-19T09:07:30Z
838,Cuba,,,https://crests.football-data.org/838.png,null null null,,,,,2024-03-28T08:16:08Z
839,Dutch East Indies,,,,null null null,,,,,2021-10-06T17:01:41Z
840,Iran,Iran,IRN,https://crests.football-data.org/iran.svg,No. 2/2 Third St. Seoul Avenue Tehrān 19958-7359,http://www.ffiri.ir,1920.0,White / Green / Red,,2022-04-02T10:38:42Z
842,FK Dynamo Kyiv,Dynamo Kyiv,DYN,https://crests.football-data.org/842.png,"Vulitsa Grushevskogo, 3 Kyïv 01001",http://www.fcdynamo.kiev.ua,1927.0,White / Blue,NSK Olimpijs'kyj,2022-08-12T10:43:33Z
850,FK Partizan Beograd,Partizan,PAR,https://crests.football-data.org/850.png,Humska 1 Beograd null,http://www.partizan.rs,1945.0,Black / White,Stadion Partizana,2022-10-27T17:28:45Z
851,Club Brugge KV,Club Brugge,CLU,https://crests.football-data.org/851.png,Olympialaan 74 Brugge 8200,http://www.clubbrugge.be,1894.0,Blue / Black,Jan Breydelstadion,2024-09-19T13:47:01Z
882,FK Rubin Kazan,Rubin Kazan,RUB,https://crests.football-data.org/882.png,"str. Kopylova, 2 Kazan 420036",http://www.rubin-kazan.ru,1936.0,Red / Green,Kazan Arena,2023-03-05T07:43:21Z
884,Maccabi Haifa FC,Maccabi Haifa,MHA,https://crests.football-data.org/884.png,Heinrich Heine Str. 14 Haifa 33264,http://mhaifafc.com,1913.0,Green / White,Sammy Ofer Stadium,2022-07-27T09:07:37Z
